ID	CONCEPT	DOCULECT	VALUE	FORM	TOKENS	GLOTTOLOG	COG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	SCAIDS	SCAID	SCALOOSEID	ALIGNMENT
1568	I	MangBang	Ɂaw	Ɂaw	ʔ a w	ruma1248	2-99	1 7 6	AXN	HAW	7	7.H.C 7.A.V 7.W.c	2.0 1.5 0.8	ʔaw	0	163	1	255	50	ʔ a w -
1569	I	NanSang	Ɂaw	Ɂaw	ʔ a w	ruma1248	2-99	1 7 6	AXN	HAW	11	11.H.C 11.A.V 11.W.c	2.0 1.5 0.8	ʔaw	0	163	1	255	50	ʔ a w -
593	abdomen	NamHsan	vɛɁ	vɛɁ	v ɛ ʔ		1-38	3 7 1	AXN	BEH	10	10.B.C 10.E.V 10.H.c	2.0 1.5 0.8	vɛʔ	0	33	17	91	1	v ɛ ʔ
594	abdomen	KhunHawt	vac	vac	v a c		1-38	3 7 1	AXN	BAC	6	6.B.C 6.A.V 6.C.c	2.0 1.5 0.8	vac	0	33	17	91	1	v a c
595	abdomen	HtanHsan	vaic	vaic	v ai c		1-38	3 7 1	AXN	BAC	5	5.B.C 5.A.V 5.C.c	2.0 1.5 0.8	vaic	0	33	17	91	1	v ai c
596	abdomen	PangKham	waɁ	waɁ	w a ʔ		1-38	6 7 1	AXN	WAH	14	14.W.C 14.A.V 14.H.c	2.0 1.5 0.8	waʔ	0	33	17	91	1	w a ʔ
597	abdomen	ManLoi	vaiɁ	vaiɁ	v ai ʔ		1-38	3 7 1	AXN	BAH	8	8.B.C 8.A.V 8.H.c	2.0 1.5 0.8	vaiʔ	0	33	17	91	1	v ai ʔ
598	abdomen	MengDan	veʔ	veʔ	v e ʔ	khan1274	1-38	3 7 1	AXN	BEH	9	9.B.C 9.E.V 9.H.c	2.0 1.5 0.8	veʔ	0	33	17	91	1	v e ʔ
599	abdomen	ChuDongGua	vɛʔ	vɛʔ	v ɛ ʔ		1-38	3 7 1	AXN	BEH	3	3.B.C 3.E.V 3.H.c	2.0 1.5 0.8	vɛʔ	0	33	17	91	1	v ɛ ʔ
600	abdomen	XiangZhaiTang	vac	vac	v a c	ruma1248	1-38	3 7 1	AXN	BAC	16	16.B.C 16.A.V 16.C.c	2.0 1.5 0.8	vac	0	33	17	91	1	v a c
601	abdomen	PongNuea	vaic	vaic	v ai c		1-38	3 7 1	AXN	BAC	15	15.B.C 15.A.V 15.C.c	2.0 1.5 0.8	vaic	0	33	17	91	1	v ai c
602	abdomen	NyaungGone	văt	văt	v ă t		1-38	3 7 1	AXN	BAT	13	13.B.C 13.A.V 13.T.c	2.0 1.5 0.8	văt	0	33	17	91	1	v ă t
603	abdomen	NoeLae	văc	văc	v ă c		1-38	3 7 1	AXN	BAC	12	12.B.C 12.A.V 12.C.c	2.0 1.5 0.8	văc	0	33	17	91	1	v ă c
604	abdomen	BanPaw	văt	văt	v ă t		1-38	3 7 1	AXN	BAT	1	1.B.C 1.A.V 1.T.c	2.0 1.5 0.8	văt	0	33	17	91	1	v ă t
605	abdomen	ChaYeQing	vat	vat	v a t		1-38	3 7 1	AXN	BAT	2	2.B.C 2.A.V 2.T.c	2.0 1.5 0.8	vat	0	33	17	91	1	v a t
606	abdomen	GuangKa	vat	vat	v a t	ruma1248	1-38	3 7 1	AXN	BAT	4	4.B.C 4.A.V 4.T.c	2.0 1.5 0.8	vat	0	33	17	91	1	v a t
607	abdomen	MangBang	vat	vat	v a t	ruma1248	1-38	3 7 1	AXN	BAT	7	7.B.C 7.A.V 7.T.c	2.0 1.5 0.8	vat	0	33	17	91	1	v a t
608	abdomen	NanSang	vat	vat	v a t	ruma1248	1-38	3 7 1	AXN	BAT	11	11.B.C 11.A.V 11.T.c	2.0 1.5 0.8	vat	0	33	17	91	1	v a t
854	ashes	NamHsan	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	10	10.K.C 10.A.V 10._._ 10.B.C 10.A.V 10.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	52	36 37	133	3	k a + f aː ŋ
855	ashes	KhunHawt	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	6	6.K.C 6.A.V 6._._ 6.B.C 6.A.V 6.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	52	36 37	133	3	k a + f aː ŋ
856	ashes	HtanHsan	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	5	5.K.C 5.A.V 5._._ 5.B.C 5.A.V 5.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	52	36 37	133	3	k a + f aː ŋ
857	ashes	PangKham	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	14	14.K.C 14.A.V 14._._ 14.B.C 14.A.V 14.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	52	36 37	133	3	k a + f aː ŋ
858	ashes	ManLoi	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	8	8.K.C 8.A.V 8._._ 8.B.C 8.A.V 8.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	52	36 37	133	3	k a + f aː ŋ
859	ashes	MengDan	kəfɛːŋ	kəfɛːŋ	k ə + f ɛː ŋ	khan1274	1-55	1 7 9 3 7 4	AX_AXN	KE_BEN	9	9.K.C 9.E.V 9._._ 9.B.C 9.E.V 9.N.c	2.0 1.5 0.0 2.0 1.5 0.8	kə+fɛːŋ	0	52	36 37	133	3	k ə + f ɛː ŋ
860	ashes	ChuDongGua	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	3	3.K.C 3.A.V 3._._ 3.B.C 3.A.V 3.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	52	36 37	133	3	k a + f aː ŋ
861	ashes	XiangZhaiTang	kafaːŋ	kafaːŋ	k a + f aː ŋ	ruma1248	1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	16	16.K.C 16.A.V 16._._ 16.B.C 16.A.V 16.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	52	36 37	133	3	k a + f aː ŋ
862	ashes	PongNuea	brɔŋɔː	brɔŋɔː	b r ɔ + ŋ ɔː		2-55	1 5 7 9 4 7	ACX_AX	PRU_NU	15	15.P.C 15.R.C 15.U.V 15._._ 15.N.C 15.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔː	0	131	34 35	134	2	b r ɔ + ŋ ɔː
863	ashes	NyaungGone	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		2-55	1 5 7 9 4 7	ACX_AX	PRU_NU	13	13.P.C 13.R.C 13.U.V 13._._ 13.N.C 13.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔ	0	131	34 35	134	2	b r ɔ + ŋ ɔ
864	ashes	NoeLae	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		2-55	1 5 7 9 4 7	ACX_AX	PRU_NU	12	12.P.C 12.R.C 12.U.V 12._._ 12.N.C 12.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔ	0	131	34 35	134	2	b r ɔ + ŋ ɔ
865	ashes	BanPaw	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		2-55	1 5 7 9 4 7	ACX_AX	PRU_NU	1	1.P.C 1.R.C 1.U.V 1._._ 1.N.C 1.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔ	0	131	34 35	134	2	b r ɔ + ŋ ɔ
866	ashes	ChaYeQing	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	2	2.K.C 2.A.V 2._._ 2.B.C 2.A.V 2.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	52	36 37	133	3	k a + f aː ŋ
867	ashes	GuangKa	kafaːŋ	kafaːŋ	k a + f aː ŋ	ruma1248	1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	4	4.K.C 4.A.V 4._._ 4.B.C 4.A.V 4.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	52	36 37	133	3	k a + f aː ŋ
868	ashes	MangBang	kafaːŋ	kafaːŋ	k a + f aː ŋ	ruma1248	1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	7	7.K.C 7.A.V 7._._ 7.B.C 7.A.V 7.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	52	36 37	133	3	k a + f aː ŋ
869	ashes	NanSang	kafaːŋ	kafaːŋ	k a + f aː ŋ	ruma1248	1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	11	11.K.C 11.A.V 11._._ 11.B.C 11.A.V 11.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	52	36 37	133	3	k a + f aː ŋ
369	bird	NamHsan	sim	sim	s i m		1-24	3 7 4	AXN	SIM	10	10.S.C 10.I.V 10.M.c	2.0 1.5 0.8	sim	0	18	68	56	4	- - - s i m
370	bird	KhunHawt	sim	sim	s i m		1-24	3 7 4	AXN	SIM	6	6.S.C 6.I.V 6.M.c	2.0 1.5 0.8	sim	0	18	68	56	4	- - - s i m
371	bird	HtanHsan	sim	sim	s i m		1-24	3 7 4	AXN	SIM	5	5.S.C 5.I.V 5.M.c	2.0 1.5 0.8	sim	0	18	68	56	4	- - - s i m
372	bird	PangKham	sim	sim	s i m		1-24	3 7 4	AXN	SIM	14	14.S.C 14.I.V 14.M.c	2.0 1.5 0.8	sim	0	18	68	56	4	- - - s i m
373	bird	ManLoi	sim	sim	s i m		1-24	3 7 4	AXN	SIM	8	8.S.C 8.I.V 8.M.c	2.0 1.5 0.8	sim	0	18	68	56	4	- - - s i m
374	bird	MengDan	sim	sim	s i m	khan1274	1-24	3 7 4	AXN	SIM	9	9.S.C 9.I.V 9.M.c	2.0 1.5 0.8	sim	0	18	68	56	4	- - - s i m
375	bird	ChuDongGua	sim	sim	s i m		1-24	3 7 4	AXN	SIM	3	3.S.C 3.I.V 3.M.c	2.0 1.5 0.8	sim	0	18	68	56	4	- - - s i m
376	bird	XiangZhaiTang	siːm	siːm	s iː m	ruma1248	1-24	3 7 4	AXN	SIM	16	16.S.C 16.I.V 16.M.c	2.0 1.5 0.8	siːm	0	18	68	56	4	- - - s iː m
377	bird	PongNuea	masiːm	masiːm	m a + s iː m		1-24	4 7 9 3 7 4	AX_AXN	MA_SIM	15	15.M.C 15.A.V 15._._ 15.S.C 15.I.V 15.M.c	2.0 1.5 0.0 2.0 1.5 0.8	ma+siːm	0	18	67 68	57	4	m a + s iː m
378	bird	NyaungGone	masim	masim	m a + s i m		1-24	4 7 9 3 7 4	AX_AXN	MA_SIM	13	13.M.C 13.A.V 13._._ 13.S.C 13.I.V 13.M.c	2.0 1.5 0.0 2.0 1.5 0.8	ma+sim	0	18	67 68	57	4	m a + s i m
379	bird	NoeLae	masim	masim	m a + s i m		1-24	4 7 9 3 7 4	AX_AXN	MA_SIM	12	12.M.C 12.A.V 12._._ 12.S.C 12.I.V 12.M.c	2.0 1.5 0.0 2.0 1.5 0.8	ma+sim	0	18	67 68	57	4	m a + s i m
380	bird	BanPaw	masim	masim	m a + s i m		1-24	4 7 9 3 7 4	AX_AXN	MA_SIM	1	1.M.C 1.A.V 1._._ 1.S.C 1.I.V 1.M.c	2.0 1.5 0.0 2.0 1.5 0.8	ma+sim	0	18	67 68	57	4	m a + s i m
381	bird	ChaYeQing	siːm	siːm	s iː m		1-24	3 7 4	AXN	SIM	2	2.S.C 2.I.V 2.M.c	2.0 1.5 0.8	siːm	0	18	68	56	4	- - - s iː m
382	bird	GuangKa	siːm	siːm	s iː m	ruma1248	1-24	3 7 4	AXN	SIM	4	4.S.C 4.I.V 4.M.c	2.0 1.5 0.8	siːm	0	18	68	56	4	- - - s iː m
383	bird	MangBang	siːm	siːm	s iː m	ruma1248	1-24	3 7 4	AXN	SIM	7	7.S.C 7.I.V 7.M.c	2.0 1.5 0.8	siːm	0	18	68	56	4	- - - s iː m
384	bird	NanSang	siːm	siːm	s iː m	ruma1248	1-24	3 7 4	AXN	SIM	11	11.S.C 11.I.V 11.M.c	2.0 1.5 0.8	siːm	0	18	68	56	4	- - - s iː m
321	bite	NamHsan	ɡaɁ	ɡaɁ	g a ʔ		1-21	1 7 1	AXN	KAH	10	10.K.C 10.A.V 10.H.c	2.0 1.5 0.8	gaʔ	0	15	88	51	5	g a ʔ
322	bite	KhunHawt	ɡaɁ	ɡaɁ	g a ʔ		1-21	1 7 1	AXN	KAH	6	6.K.C 6.A.V 6.H.c	2.0 1.5 0.8	gaʔ	0	15	88	51	5	g a ʔ
323	bite	HtanHsan	ɡaɁ	ɡaɁ	g a ʔ		1-21	1 7 1	AXN	KAH	5	5.K.C 5.A.V 5.H.c	2.0 1.5 0.8	gaʔ	0	15	88	51	5	g a ʔ
324	bite	PangKham	ɡak	ɡak	g a k		1-21	1 7 1	AXN	KAK	14	14.K.C 14.A.V 14.K.c	2.0 1.5 0.8	gak	0	15	88	51	5	g a k
325	bite	ManLoi	kak	kak	k a k		1-21	1 7 1	AXN	KAK	8	8.K.C 8.A.V 8.K.c	2.0 1.5 0.8	kak	0	15	88	51	5	k a k
326	bite	MengDan	kiaʔ	kiaʔ	k ia ʔ	khan1274	1-21	1 7 1	AXN	KIH	9	9.K.C 9.I.V 9.H.c	2.0 1.5 0.8	kiaʔ	0	15	88	51	5	k ia ʔ
327	bite	ChuDongGua	ɡa?	ɡa?	g a ʔ		1-21	1 7 1	AXN	KAH	3	3.K.C 3.A.V 3.H.c	2.0 1.5 0.8	gaʔ	0	15	88	51	5	g a ʔ
328	bite	XiangZhaiTang	kɔɁ	kɔɁ	k ɔ ʔ	ruma1248	1-21	1 7 1	AXN	KUH	16	16.K.C 16.U.V 16.H.c	2.0 1.5 0.8	kɔʔ	0	15	88	51	5	k ɔ ʔ
329	bite	PongNuea	kauɁ	kauɁ	k au ʔ		1-21	1 7 1	AXN	KAH	15	15.K.C 15.A.V 15.H.c	2.0 1.5 0.8	kauʔ	0	15	88	51	5	k au ʔ
330	bite	NyaungGone	kauʔ	kauʔ	k au ʔ		1-21	1 7 1	AXN	KAH	13	13.K.C 13.A.V 13.H.c	2.0 1.5 0.8	kauʔ	0	15	88	51	5	k au ʔ
331	bite	NoeLae	kauɁ	kauɁ	k au ʔ		1-21	1 7 1	AXN	KAH	12	12.K.C 12.A.V 12.H.c	2.0 1.5 0.8	kauʔ	0	15	88	51	5	k au ʔ
332	bite	BanPaw	kauɁ	kauɁ	k au ʔ		1-21	1 7 1	AXN	KAH	1	1.K.C 1.A.V 1.H.c	2.0 1.5 0.8	kauʔ	0	15	88	51	5	k au ʔ
333	bite	ChaYeQing	ɡak	ɡak	g a k		1-21	1 7 1	AXN	KAK	2	2.K.C 2.A.V 2.K.c	2.0 1.5 0.8	gak	0	15	88	51	5	g a k
334	bite	GuangKa	ɡak	ɡak	g a k	ruma1248	1-21	1 7 1	AXN	KAK	4	4.K.C 4.A.V 4.K.c	2.0 1.5 0.8	gak	0	15	88	51	5	g a k
335	bite	MangBang	ɡɔk	ɡɔk	g ɔ k	ruma1248	1-21	1 7 1	AXN	KUK	7	7.K.C 7.U.V 7.K.c	2.0 1.5 0.8	gɔk	0	15	88	51	5	g ɔ k
336	bite	NanSang	kɔk	kɔk	k ɔ k	ruma1248	1-21	1 7 1	AXN	KUK	11	11.K.C 11.U.V 11.K.c	2.0 1.5 0.8	kɔk	0	15	88	51	5	k ɔ k
1427	black	NamHsan	ʥәm	ʥәm	dʑ ə m		1-91	2 7 4	AXN	CEM	10	10.C.C 10.E.V 10.M.c	2.0 1.5 0.8	dʑəm	0	92	106	232	7	dʑ ə m
1428	black	KhunHawt	ʥәm	ʥәm	dʑ ə m		1-91	2 7 4	AXN	CEM	6	6.C.C 6.E.V 6.M.c	2.0 1.5 0.8	dʑəm	0	92	106	232	7	dʑ ə m
1429	black	HtanHsan	ʥәm	ʥәm	dʑ ə m		1-91	2 7 4	AXN	CEM	5	5.C.C 5.E.V 5.M.c	2.0 1.5 0.8	dʑəm	0	92	106	232	7	dʑ ə m
1430	black	PangKham	vaŋ	vaŋ	v a ŋ		2-91	3 7 4	AXN	BAN	14	14.B.C 14.A.V 14.N.c	2.0 1.5 0.8	vaŋ	0	156	105	233	6	- - - v a ŋ
1431	black	ManLoi	vaŋ	vaŋ	v a ŋ		2-91	3 7 4	AXN	BAN	8	8.B.C 8.A.V 8.N.c	2.0 1.5 0.8	vaŋ	0	156	105	233	6	- - - v a ŋ
1432	black	MengDan	vaŋ	vaŋ	v a ŋ	khan1274	2-91	3 7 4	AXN	BAN	9	9.B.C 9.A.V 9.N.c	2.0 1.5 0.8	vaŋ	0	156	105	233	6	- - - v a ŋ
1433	black	ChuDongGua	vaŋ	vaŋ	v a ŋ		2-91	3 7 4	AXN	BAN	3	3.B.C 3.A.V 3.N.c	2.0 1.5 0.8	vaŋ	0	156	105	233	6	- - - v a ŋ
1434	black	XiangZhaiTang	vɔŋ	vɔŋ	v ɔ ŋ	ruma1248	2-91	3 7 4	AXN	BUN	16	16.B.C 16.U.V 16.N.c	2.0 1.5 0.8	vɔŋ	0	156	105	233	6	- - - v ɔ ŋ
1435	black	PongNuea	vɔŋ	vɔŋ	v ɔ ŋ		2-91	3 7 4	AXN	BUN	15	15.B.C 15.U.V 15.N.c	2.0 1.5 0.8	vɔŋ	0	156	105	233	6	- - - v ɔ ŋ
1436	black	NyaungGone	vɔk	vɔk	v ɔ k		2-91	3 7 1	AXN	BUK	13	13.B.C 13.U.V 13.K.c	2.0 1.5 0.8	vɔk	0	156	105	233	6	- - - v ɔ k
1437	black	NoeLae	vɔŋ	vɔŋ	v ɔ ŋ		2-91	3 7 4	AXN	BUN	12	12.B.C 12.U.V 12.N.c	2.0 1.5 0.8	vɔŋ	0	156	105	233	6	- - - v ɔ ŋ
1438	black	BanPaw	vɔŋ	vɔŋ	v ɔ ŋ		2-91	3 7 4	AXN	BUN	1	1.B.C 1.U.V 1.N.c	2.0 1.5 0.8	vɔŋ	0	156	105	233	6	- - - v ɔ ŋ
1439	black	ChaYeQing	vaŋ	vaŋ	v a ŋ		2-91	3 7 4	AXN	BAN	2	2.B.C 2.A.V 2.N.c	2.0 1.5 0.8	vaŋ	0	156	105	233	6	- - - v a ŋ
1440	black	GuangKa	vɔŋ	vɔŋ	v ɔ ŋ	ruma1248	2-91	3 7 4	AXN	BUN	4	4.B.C 4.U.V 4.N.c	2.0 1.5 0.8	vɔŋ	0	156	105	233	6	- - - v ɔ ŋ
1441	black	MangBang	vɔŋ	vɔŋ	v ɔ ŋ	ruma1248	2-91	3 7 4	AXN	BUN	7	7.B.C 7.U.V 7.N.c	2.0 1.5 0.8	vɔŋ	0	156	105	233	6	- - - v ɔ ŋ
1442	black	NanSang	Ɂivɔŋ	Ɂivɔŋ	ʔ i + v ɔ ŋ	ruma1248	2-91	1 7 9 3 7 4	AX_AXN	HI_BUN	11	11.H.C 11.I.V 11._._ 11.B.C 11.U.V 11.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ʔi+vɔŋ	0	156	107 105	234	6	ʔ i + v ɔ ŋ
745	blood	NamHsan	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	10	10.N.C 10.A.V 10.M.c	2.0 1.5 0.8	n̥aːm	0	44	123	117	8	n̥ aː m
746	blood	KhunHawt	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	6	6.N.C 6.A.V 6.M.c	2.0 1.5 0.8	n̥aːm	0	44	123	117	8	n̥ aː m
747	blood	HtanHsan	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	5	5.N.C 5.A.V 5.M.c	2.0 1.5 0.8	n̥aːm	0	44	123	117	8	n̥ aː m
748	blood	PangKham	n̥a:m	n̥a:m	n̥ aː m		1-48	4 7 4	AXN	NAM	14	14.N.C 14.A.V 14.M.c	2.0 1.5 0.8	n̥aːm	0	44	123	117	8	n̥ aː m
749	blood	ManLoi	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	8	8.N.C 8.A.V 8.M.c	2.0 1.5 0.8	n̥aːm	0	44	123	117	8	n̥ aː m
750	blood	MengDan	n̥ɛːm	n̥ɛːm	n̥ ɛː m	khan1274	1-48	4 7 4	AXN	NEM	9	9.N.C 9.E.V 9.M.c	2.0 1.5 0.8	n̥ɛːm	0	44	123	117	8	n̥ ɛː m
751	blood	ChuDongGua	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	3	3.N.C 3.A.V 3.M.c	2.0 1.5 0.8	n̥aːm	0	44	123	117	8	n̥ aː m
752	blood	XiangZhaiTang	n̥aːm	n̥aːm	n̥ aː m	ruma1248	1-48	4 7 4	AXN	NAM	16	16.N.C 16.A.V 16.M.c	2.0 1.5 0.8	n̥aːm	0	44	123	117	8	n̥ aː m
753	blood	PongNuea	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	15	15.N.C 15.A.V 15.M.c	2.0 1.5 0.8	n̥aːm	0	44	123	117	8	n̥ aː m
754	blood	NyaungGone	n̥am	n̥am	n̥ a m		1-48	4 7 4	AXN	NAM	13	13.N.C 13.A.V 13.M.c	2.0 1.5 0.8	n̥am	0	44	123	117	8	n̥ a m
755	blood	NoeLae	n̥am	n̥am	n̥ a m		1-48	4 7 4	AXN	NAM	12	12.N.C 12.A.V 12.M.c	2.0 1.5 0.8	n̥am	0	44	123	117	8	n̥ a m
756	blood	BanPaw	n̥am	n̥am	n̥ a m		1-48	4 7 4	AXN	NAM	1	1.N.C 1.A.V 1.M.c	2.0 1.5 0.8	n̥am	0	44	123	117	8	n̥ a m
757	blood	ChaYeQing	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	2	2.N.C 2.A.V 2.M.c	2.0 1.5 0.8	n̥aːm	0	44	123	117	8	n̥ aː m
758	blood	GuangKa	n̥aːm	n̥aːm	n̥ aː m	ruma1248	1-48	4 7 4	AXN	NAM	4	4.N.C 4.A.V 4.M.c	2.0 1.5 0.8	n̥aːm	0	44	123	117	8	n̥ aː m
759	blood	MangBang	n̥aːm	n̥aːm	n̥ aː m	ruma1248	1-48	4 7 4	AXN	NAM	7	7.N.C 7.A.V 7.M.c	2.0 1.5 0.8	n̥aːm	0	44	123	117	8	n̥ aː m
760	blood	NanSang	n̥aːm	n̥aːm	n̥ aː m	ruma1248	1-48	4 7 4	AXN	NAM	11	11.N.C 11.A.V 11.M.c	2.0 1.5 0.8	n̥aːm	0	44	123	117	8	n̥ aː m
697	bone	NamHsan	kaɁaːŋ	kaɁaːŋ	k a + ʔ aː ŋ		1-45	1 7 9 1 7 4	AX_AXN	KA_HAN	10	10.K.C 10.A.V 10._._ 10.H.C 10.A.V 10.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+ʔaːŋ	0	41	140 141	114	9	k a - + ʔ aː ŋ
698	bone	KhunHawt	kanɁaːŋ	kanɁaːŋ	k a n + ʔ aː ŋ		1-45	1 7 4 9 1 7 4	AXN_AXN	KAN_HAN	6	6.K.C 6.A.V 6.N.c 6._._ 6.H.C 6.A.V 6.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	kan+ʔaːŋ	0	41	140 141	114	9	k a n + ʔ aː ŋ
699	bone	HtanHsan	kәnɁaːŋ	kәnɁaːŋ	k ə n + ʔ aː ŋ		1-45	1 7 4 9 1 7 4	AXN_AXN	KEN_HAN	5	5.K.C 5.E.V 5.N.c 5._._ 5.H.C 5.A.V 5.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	kən+ʔaːŋ	0	41	140 141	114	9	k ə n + ʔ aː ŋ
700	bone	PangKham	kaɁaːŋ	kaɁaːŋ	k a + ʔ aː ŋ		1-45	1 7 9 1 7 4	AX_AXN	KA_HAN	14	14.K.C 14.A.V 14._._ 14.H.C 14.A.V 14.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+ʔaːŋ	0	41	140 141	114	9	k a - + ʔ aː ŋ
701	bone	ManLoi	kaɁaːŋ	kaɁaːŋ	k a + ʔ aː ŋ		1-45	1 7 9 1 7 4	AX_AXN	KA_HAN	8	8.K.C 8.A.V 8._._ 8.H.C 8.A.V 8.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+ʔaːŋ	0	41	140 141	114	9	k a - + ʔ aː ŋ
